TIER,Categories,List / Link,Contact,Follower,Cost,,,,Condition,REMARK*
,,,,,Rate Video,Gencode,Asset 3/6 Month,ค่าเดินทาง,,
MEGA,Lifestyle,thammachad,ติดต่องานLine : @thamwork,6.1M,"👉🏻เรททำคลิป Tiktok ช่อง Thammachad อยู่ที่ 75,000 ฿. ค่ะ แถมพิเศษ! ลงให้ในช่องทาง Facebook Reels, IG Reels และ Youtube Short ให้ด้วยค่ะ 😍
📌**สำคัญ Conditions เพิ่มเติมจากทางช่องนะคะ
- ความยาวคลิปอยู่ที่ 1:00-1:30 ค่ะ ช่วงของการ tie-in แล้วแต่ลูกค้าได้เลยค่ะ
- สามารถแก้ไขดราฟได้ทั้งหมด 2 ครั้งค่ะ หากเกิน ขออนุญาต +5,000 ฿. (หากแก้ไขเล็กน้อยสามารถแก้ไขให้ได้ค่ะ😍)
- สามารถใส่ Text, AW ของลูกค้าได้ค่า
- สามารถใส่ # ตามลูกค้าแจ้งได้เลยค่ะ 
- กรณีเลื่อนโพสต์ ไม่คิดค่าใช้จ่ายค่า แต่ขออนุญาตแจ้งก่อนล่วงหน้า เพื่อการวางแผนและล็อกคิวให้ไม่ชนค่า💖
- โพสต์ถาวรไม่ลบโพสต์ค่ะ
- ลูกค้าสามารถแชร์โพสต์ไปในช่องทางของแบรนด์ได้ค่ะ
•Gencode 30, 60 days *FREE ka
•กรณีหากต้องการนำคลิปไปใช้ เรทจะเป็นดังนี้ค่ะ
👉🏻 1 เดือน *FREE
👉🏻 ถัดไปเดือนละ 5,000 ฿.
👉🏻 ซื้อขาดถาวรที่ 30,000 ฿. ได้เลยค่ะ 
- กรณีงานด่วนขออนุญาต +5,000 ฿. นะคะ (ต้องรีเช็กไทม์ไลน์อีกทีค่ะ ซึ่งไทม์ไลน์ปกติของช่องแบบไม่ใช่งานด่วนจะเป็นตามที่แจ้งในข้อถัดไปค่า🙏🏻)
- สามารถส่งสคริปต์ไอเดียให้ตรวจก่อนถ่ายทำได้นะคะ สามารถ “ส่งหลังรับบรีฟ” ได้ภายใน 4-5 วันค่ะ
- สามารถส่ง 1st draft หลังวัน shooting ได้ภายใน 5-6 วันค่ะ
📍ทางช่องรับเงินในนามบริษัท +vat7% และหัก ณ ที่จ่าย 3% เครดิตเทอม 30 วันหรือตามลูกค้าแจ้งได้เลยค่ะ",,,,,
MEGA,"Lifestyle, Beauty",nisamaneenut,work Line: @nisamanee.nutt,2M,"-create short vdo on Tiktok and Instagram 200,000 บาท
Boost 
-Add advertiser 20,000 บาท ( 30 วัน )
-Tag branded content 30,000  บาท ( 30 วัน )
- gencode 30 วัน 20,000 
-รับในนามบริษัท 7%-3%
‼️ชำระก่อนโพส วางบิล 30 วัน +20000 บาทค่ะ‼️
📍สามารถแก้งานได้2ครั้ง แก้คำ แก้สี แก้ได้ทุกอย่างยกเว้นถ่ายใหม่ 
📍หากส่งงานแล้วต้องการให้ถ่ายใหม่คิดเท่าราคาเต็ม 
📍หากต้องการซื้อไปใช้ต่อเพิ่ม 50,000 ใช้ได้ 3เดือน เดือนต่อไปเดือนละ 10,000 
📍เข้ามา Advertiser, Gencode,Add ads ช่องทางละ 20,000 บาท ได้1เดือน 
📍เข้ามาBoostได้ไม่เกิน1เดือน 
📍ค่าบูสแบรนด์เป็นคนจ่าย 
📍ติดbranded 30,000 บาท 
📍หลังคอนเฟิร์มงานกันแล้วดราฟแรกจะส่งให้ภายใน 3-5 วัน 
📍หากต้องการไวกว่านั้นมีค่าใช้จ่ายเพิ่มเติม 
📍หากคอนเฟิร์มงานแล้วไม่มีการยกเลิกทุกกรณี 
📍กรณียกเลิกงานหลังคอนเฟิร์มทางแบรนด์ต้องชำระ 50% ของราคางาน 
📍หากมีการแปะ Link ทางเพจขอสงวนสิทธิ์ในการแปะ Link Affiliate ตัวเองเท่านั้น
 🌻ไม่ลบโพสทุกช่องทาง🌻",,,,,
MEGA,Lifestyle,noom.bunmanee,"Line : 0936324959 , 0888488988",3.3M,"Tiktok 80,000 บาท gencode free 30 วัน ปักตะกร้าได้ 1 ตะกร้า และไม่มีกำหนดลบโพสต์ค่า",,,,,
MEGA,Lifestyle,ningarisaa,Line : @481rivcf | คุณเฮ้าส์,2.5M,"ขออนุญาตแจ้งเรทราคาทุก Platform ในการรีวิวของคุณนิ้งนะครับ 😊 
(ราคายังไม่รวม VAT 7%) 
(ราคารวมมีคุณเอิร์ธแล้ว) 
♥️TikTok (30-60วิ)
คลิปละ 130,000 บาท

Tiktok Vlog(2-3นาที) 
คลิปละ 150,000 บาท

*** Buy Asset VDO
1 เดือน 19,500 บาท 
3 เดือน 26,000 บาท
 6 เดือน 39,000บาท
1ปี  45,500บาท
ซื้อขาด 65,000บาท

✨Condition✨
ไม่ลบโพสต์
boost post ลงช่อง ningarisaa ไม่คิดค่าใช้จ่าย
แก้ไขได้1-2ดราฟ
เครดิตได้30วัน
รับเงินนาม บ. หักณ ที่จ่าย3%
มี Vat 7%
เลื่อน timeline ครั้งละ 3,000บาท
แก้ไขเกิน2ครั้ง คิดดราฟละ6,000บาท
**re shoot คิด50% ของตัวงาน**
cancel งาน คิด70%ของตัวงาน
นอกสถานที่ กทม. 3,000
*ติดตะกร้าเพิ่ม3,000 (อาจมีผลต่อยอดวิว)",,,,,
MEGA,Lifestyle,porplew,ติดต่องาน : @porplew,2M,"ขออนุญาตเเจ้งเรทการ์ดนะครับ
- 6,000 บาท TikTok 1.9 ล้านผู้ติดตาม (ติดตะกร้าได้)
- คลิป 30 – 90 วินาที 
- แก้ไขคลิปจำกัด 3 ครั้ง 
- เผยแพร่คลิป 1 ปี แบรนด์นำคลิปไปใช้ได้ 1 ปี Gencode ฟรี !",,,,,
MEGA,Lifestyle,maeyasunsun,ติดต่องาน Line maesunya,1.4M,TikTok เมญ่า รับที่ 50000 บาทค่ะ ฟรีเจนโค้ด 30 วัน,,,,,
MEGA,Lifestyle,pexjakkajee,✅ ติดต่องานรีวิว แอดไลน์ @pexguy (มี@),1.1M,"ปัจจุบันอยู่ที่ 20,000 บาท
ฟรีปักตะกร้า
ฟรี gen code 30วัน",,,,,
MEGA,"Lifestyle, Music",barbiebombam_,ติดต่องาน id line: @552ocxgn (K.fay),1.7M,"เรทราคาเริ่มต้นที่ 35,000 ค่ะ
ราคานี้ให้เจนโค้ดฟรี 30 วัน 
หากปักตะกร้าด้วยจะอยู่ที่ 38,000 
(เจนโค้ดฟรี 60 วัน) 
หากซื้อคลิปขาด ไปลงช่องของทางแบรนด์บวกเพิ่มอีก 20,000 ค่ะ 
*ทางเราไม่ลบโพสต์ และใส่ # ได้ไม่จำกัดค่ะ",Gencode 30 day = ฟรีค่ะ ,,,,
MEGA,"Lifestyle, Beauty",juepak_,https://line.me/R/ti/p/@den2686a?ts=07071312&oat_content=url,1.2M,"เรท tiktok 1-1.30นาที
 195,000฿
เจนโค้ต 30 วัน 15,000฿
ปัก1 ตะกร้า 15,000฿
นำคลิปไปใช้ 1 เดือน 95,000฿ ถึงกำหนดลบครับ","15,000",,,,
MEGA,Lifestyle,nxmpez,work Line: @waterdiamond8,1.4M,"เรทtiktok 1-1.30นาที 100,000฿",,,,,
MEGA,"Lifestyle, Family",janeydm,Line @ : @294nrkdf,16.8M,"รีวิว 1 สินค้า 150,000 บาท",,,,,
MEGA,"Lifestyle, Beauty",auyaey13,FOR WORK LINE L A_U_Y13,2.2M,"เรท 20,000฿ Net สินค้า 1 ชิ้น",,,,,
MEGA,"Lifestyle, Review Food",suziewadee,LINE ID : suziewadee (ติดต่องานค่ะ),2.2 M,"- Post Video Review น้ำจิ้มสุกี้ ศรีพันปี พร้อมติดตะกร้าสินค้า 
= 35,000 บาท (ไม่สะดวกติดตระกร้านะคะ)",Gencode 30 day = ฟรีค่ะ ,,,,
MEGA,Lifestyle,เซียนหรั่ง,ติดต่องาน line : earth1454,1.6M,"ราคา 35,000
","5,000","Asset 35,000",,,
MEGA,Lifestyle,thomastom.tiktok,064-9639264 (LineID Tungkae28),1.4M,"ราคา 60,000
Asset 8,000
Sow :
1 content video uploaded on TikTok (1-1.30 min) 60,000.- net
1 content video uploaded on Facebook (1-1.30 min) 75,000.- net

package 1 content video uploaded on TikTok + Facebook (1-1.30 min) 90,000.- net

Optional :
Gen code 8,000.-
Add Advertiser/Boost post/Tag Branded 8,000.-
Buy Out (1 month) 8,000.-

Condition : 
- ค่าเดินทางและที่พัก (ถ่ายทำต่างจังหวัด) 20,000.-
- สามารถแก้ไขแคปชั่นได้ 1 ครั้งครับ
สามารถแก้ไขไอเดียได้ 1 ครั้งครับ
สามารถแก้ไขดราฟได้ 2 ครั้งครับ
- ลบโพสหลังจาก 90 วันครับ","8,000",,,,
MEGA,Lifestyle,nunik11_taiyang,"FOR WORK LINE OA: 
@taiyangmedia (มี@)",1.1M,"12,000",FREE 30 DAY,"3 เดือนฟรี
ซื้อขาด 10,000",,,
MEGA,Lifestyle,ceo.blkboba,Line ID : @ceo.blkboba,2.8M,"VDO Review=35,000 
*รวมค่าเดินทางในชลบุรี
- ระยะเวลาการทำงาน 3-5 วัน
- เงื่อนไขการจ่ายเงิน เครดิต 45 วันสะดวกมั้ยคะ=สะดวกค่ะ",FREE,"10,000",,,
MEGA,Lifestyle,moznattha,"Ig : moznattha
ติดต่องาน DM ไอจีครับ",2.1M,"· 1 x TikTok Video ความยาวไม่เกิน  60 sec = 100,000.-

· เรทราคาสำหรับการ Gen Code ให้ลูกค้าไปบูสต์
 7 วัน  = 3,000.-
30 วัน = 7,000.-
60 วัน = 12,000.-

· ส่งดราฟต์ให้ลูกค้าดู 2 ครั้ง

· สามารถแก้ไขงานโดยการตัดต่อได้ 2 ครั้ง

· สามารถติดแฮชแท็กได้ไม่จำกัด

· สามารถใส่ลิงก์ลูกค้าในแคปชั่นได้

· เรทราคาถ้าลูกค้านำคลิปไปใช้ต่อ 1 เดือนค่ะ = 15,000.-

· เรทราคาถ้าลูกค้านำคลิปไปใช้ต่อ 3 เดือนค่ะ = 30,000.-

· รับเงินในนามบุคคล

· รับเงินแบบ Net เท่านั้น

* Condition ในการทำงานที่ไม่สามารถทำได้ 
ที่เกี่ยวข้องกับจรรยาบรรณในอาชีพ = 
งดรับงานที่เกี่ยวข้องกับเว็บไซต์การพนัน
 / แอลกอฮอล์ทุกประเภท",,,,,
MEGA,Lifestyle,aonsomruta,https://line.me/R/ti/p/@wdg7303p?oat_content=url&ts=09302024,4.9M,"เรท 250,000 คอนเท้นจะลงทั้ง TikTok + Ig reels เลยค่ะ
รับเงินแบบบริษัท มัดจำ 50,000 บาท ไม่มีเครดิตเทอมนะคะ รับเน็ต และมี Vat 7% นะคะ ทางลูกค้าออกหัก ณ ที่จ่ายให้ค่า

- ช่องออนจะเน้น create คอนเท้นตามสไตล์เราให้มีคนมี engagement เยอะๆค่ะ จะไม่ได้เห็นสินค้ามากขนาดนั้น จะเป็น tie in ค่ะ 

- ไม่ติดตะกร้า ไม่ใส่ text ไม่ insert หรือพากษ์เสียงใดๆนะคะ

- gen code ถ้าไม่ถึง 1M views ภายใน 2 อาทิตย์ สามารถ gen code ได้ค่ะ (+30,000 = 30 วัน)

Buy asset 
1 ปี = 350,000
6 เดือน = 250,000
3 เดือน = 100,000",,,,,
MACRO,Lifestyle,khunphansansathan,work : @nongchang.st,700.2K,"คอนเท้นละ 10,000 บาทนะครับ 
ลง3แพรตฟอร์ม Tiktok (701k) 
ig(178k) 
facebook(250k) 
ราคานี้รวมทุกอย่างแล้วครับ 
Gencode ไม่บวกเพิ่ม สามารถนำคลิปไปใช้ต่อได้ แก้ไขงานได้ตามต้องการครับผม",,,,,
MACRO,Lifestyle,poocao,LINE : poocao (for work),277.8K,"30,000 on TikTok 
🎀 แถมฟรี! อัพโหลดบน IG @poocao มูลค่า 20,000.-   
🎀 แถมฟรี! อัพโหลดบน FB @poocaochannel มูลค่า 20,000.-   
🎀 แถมฟรี! หากคลิปไม่เกิน 3 นาทีอัพโหลดบน YT Shorts @poocaochannel มูลค่า 20,000.-   
🎀 แถมฟรี! Gen Code for Boost on TikTok 30 วัน มูลค่า 5,000.- 
รับ Net ในนามบริษัท (จด Vat) Credit Term 30 วัน หลังโพสต์งานฮะ (** ราคาที่แสดงเป็นราคาก่อนบวกภาษี ณ ที่จ่ายและ VAT**)
หากมีระยะเวลาทำงานน้อยกว่า 7 วัน หลังจากคอนเฟิร์มไอเดีย หรือต้องขึ้นโพสต์หรือส่งดราฟต์แรกหลังจากถ่ายทำ 1-2 วัน จะมีค่าใช้จ่ายสำหรับงานเร่งด่วน 5,000 - 10,000 บาท ตามความเร่งด่วนของงานฮะ",,,,,
MACRO,"Lifestyle, Beauty",bewya,"ติดต่องาน IG : bbewyaa
หรือกดlink ด้านล่างได้เลยค่ะ เฉพาะติดต่องานเท่านั้น
page.line.me/665wmhmv",321.3K,"5,000",FREE,FREE,,,
MACRO,Lifestyle,ice_khaikaithot,ติดต่องาน Line:zardice,614.2K,"4,500 รวม Gencode + ปักตะกร้า",,,,,
MACRO,"Lifestyle, Beauty",flukkaronnn,,747.2K,"Tiktok 100,000บาท 
Gen code free 1month
Live tiktok 1ชั่วโมง 120,000บาท 
(ปักตะกร้าเน้นขายของ+เพิ่ม15,000)
Live on instagram 1.30ชม.  150,000
Youtube รายการ ดีจริงหรือจกตา 250,000บาท
ถ้ามีทดสอบสินค้า 7วัน14วันเก็บผล Before และ after  
+เพิ่ม30,000 (มีการจ้างคนมาทดสอบจริงจัง)
แก้ไขงานได้3ครั้ง (editor) 
ใช้ฟรี1เดือน
ซื้อขาด 50% ของราคางานนั้นๆ",,,,,
MACRO,"Lifestyle, Beauty",barbie_noon,,,"4,000",FREE,"2,000",,,
MACRO,"Lifestyle, Healthy",tttip05,For work : line tipker2526,637.5K,"17,000 รวมทุกอย่าง",FREE,FREE,,,
MACRO,"Lifestyle, Beauty",torpattarakul1,Line : @torpat,716K,"SHORT VIDEO (TikTok/Instagram/Facebook Reels) Q3
Clip within 1-1.30 min (1SKU) 
**[Rate per platform : เรทต่อแพลทฟอร์ม]
150,000 THB 
เพิ่มสินค้า ชิ้นละ 10,000 
ต้องการให้ทำ Before/After +50,000
ต้องการคลิปใช้งานหลายวันประกอบในคลิปวีดีโอหลักเช่น 
Day1 Day3 … +25,000/วัน",,,,,
MACRO,"Lifestyle, Beauty",theaunyo,˚ for work pls : dm ig!,153.7K,,,,,,
MACRO,"Lifestyle, mon",nirinpunrada,"Managed By Mom
Line : @715fisla",349.4K,,,,,,
MACRO,"Lifestyle, mon",chanchanew,ติดต่องาน @ : Newyork11179. (มี.),127.6K,,,,,,
