ขั้นตอน,Name,Detail
1,กำหนดเป้าหมาย & ขอบเขต,"นิยาม KPI, SLA, สิทธิ์ใช้งาน, ข้อกำหนดรายงาน, เขตข้อมูลส่วนบุคคล (PDPA/GDPR) และข้อจำกัด API ของแต่ละแพลตฟอร์ม"
2,รวบรวมความต้องการเชิงลึก (BRD/PRD),"Use cases: CRUD KOL, Search/Filter, ดึงสถิติย้อนหลัง 30 วัน, วงจรแคมเปญ, แจ้งเตือน KPI, ออกรายงานไฟล์"
3,ออกแบบโดเมนโมเดล & สคีมา,"ตารางหลัก: kol, kol_account (FB/IG/YT/TT/X), stats_daily, campaign, campaign_objective, campaign_kol, brief, content_post, checkpoint_metric (D+1/D+3/D+7/End), task, attachment, alert_rule, report_template, user, role, audit_log"
4,ออกแบบสถาปัตยกรรมระบบ,"เลือก Backend (เช่น Node/Nest/Laravel), DB (Postgres), Search (Postgres trigram/PGVector หรือ OpenSearch), Queue/Jobs (BullMQ/Celery), Cache (Redis), File store (S3), CI/CD, Infra & VPC"
5,การกำกับดูแลข้อมูล & สิทธิ์ (RBAC/ABAC),"กำหนด Role: Admin, Planner, Analyst, Client-Viewer + Masking/Scopes ต่อแคมเปญ/ลูกค้า"
6,กลยุทธ์การเชื่อมต่อแพลตฟอร์ม,ยืนยันวิธีการ: Official APIs + OAuth/Permissions (หลีกเลี่ยงการสแครปที่ละเมิดข้อตกลงใช้งาน) และกำหนด Scopes/แหล่งสถิติที่รองรับต่อแพลตฟอร์ม
7,การจัดการ OAuth/Secrets & Consent,"Flow เชื่อมบัญชี KOL (creator consent), เก็บ token/refresh token แบบเข้ารหัส, rotation, revoke"
8,ออกแบบตัวดึงข้อมูลสถิติ (Ingestion),"Job ดึง ย้อนหลัง 30 วัน และ job ตามรอบ (D+1/D+3/D+7/End) ต่อ KOL/แคมเปญ, กันซ้ำ, back-off, retry, rate-limit, webhooks (ถ้ามี)"
9,การทำความสะอาด & ทำให้เป็นมาตรฐาน (Normalization),"แมป metrics ข้ามแพลตฟอร์ม (views/impressions/reach/likes/comments/shares/ER/CPM/CPE/CPC/CPV ฯลฯ), หน่วยเวลา, timezone, currency"
10,โมดูล CRUD & Admin UI,"สร้าง/อ่าน/แก้ไข/ลบ KOL, บัญชีแพลตฟอร์ม, เรตราคา, tag/หมวดหมู่, ความถนัด, audience, ข้อมูลติดต่อ, เอกสารสัญญา"
11,Search & Filter ขั้นสูง,"ฟิลเตอร์ตาม platform, category, niche, region, audience, historical KPIs, เรตราคา; จัดทำดัชนีค้นหา (full-text, facet, ช่วงตัวเลข/วันที่)"
12,โมดูล Campaign Management,"สร้างแคมเปญ, วัตถุประสงค์, งบ, KPI เป้า, timeline, UTM, การคัดเลือก/เพิ่ม-ลบ KOL, สถานะงาน, workboard"
13,Brief & การสื่อสารกับ KOL,"เทมเพลตบรีฟ, ไฟล์แนบ, ลายเซ็นดิจิทัล, บันทึกการสื่อสาร, webhook/email/LINE/Slack; task per KOL + due date"
14,Tracking คอนเทนต์ & Checkpoints,"บันทึกลิงก์โพสต์/วิดีโอ, ผูกกับ UTM, ดึงสถิติอัตโนมัติ หลังลงงาน 1, 3, 7 วัน และหลังจบแคมเปญ, override manual ได้, audit trail"
15,Dashboard & Alerting,"Realtime/near-real-time KPI vs target, burn-rate งบ, outlier detection เบื้องต้น, rule-based alerts (เช่น ต่ำกว่า 80% ของเป้าตามเส้นทางเวลา)"
16,รายงานอัตโนมัติ (Report Engine),"เทมเพลตแบรนด์/ลูกค้า, เลือกช่วง/แคมเปญ, export PDF/PPTX/Excel, ฝังกราฟ/ตาราง, ลายน้ำ/branding, เวอร์ชันนิ่ง"
17,คุณภาพซอฟต์แวร์ & ทดสอบ,"Test pyramid (unit/integration/e2e), seed/fake data, contract tests กับ APIs ภายนอก, performance & security testing"
18,ความปลอดภัย & Compliance,"PII encryption, at-rest/in-transit, key mgmt, least-privilege, logging/monitoring, DPA/record of processing, data retention & deletion"
19,Deploy & Observability,"CI/CD, environment dev-uat-prod, IaC, blue/green, metrics/logs/traces, health checks, SLO/SLI, runbooks"
20,Handover & Roadmap ต่อเนื่อง,"คู่มือผู้ใช้/แอดมิน, training, backlog Phase-2 (look-alike KOL, budget optimizer, predictive KPIs, MMM เบื้องต้น, API for partners)"
